Link,Company,About,Description,Employees,Homepage,Crunchbase,LinkedIn,Facebook,Twitter
https://climatescape.org//organizations/agripolis,Agripolis,Urban farming,"Agripolis is a Paris based urban farming company that designs, builds and operates rooftops in urban areas for fresh vegetable and fruit production. 

Our way of producing is pesticide-free, super-productive and based on organics nutrients.",11-50,http://agripolis.eu/,https://www.linkedin.com/company/agripolis/,https://twitter.com/agripolis,Нет данных,Нет данных
https://climatescape.org//organizations/agripower,Agripower,,"Manufacturer of silicon-based fertilizers. The company engages in processing of organic fertilizers made from fossilized remains of algae called diatoms, that can be utilized by the agricultural industries.",Private,http://www.agripower.com.au,https://twitter.com/Aagripower,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/agrivi,Agrivi,Providing solutions to feed the world through powerful farm management software,"An award-winning cloud farm management software used by thousands of
farmers from 150+ countries worldwide.",11-50,http://agrivi.com,https://www.crunchbase.com/organization/agrivi,http://www.linkedin.com/company/agrivi,http://www.facebook.com/AgriviCorp,https://twitter.com/AgriviCorp
https://climatescape.org//organizations/agrovisio,Agrovisio,Make reliable agricultural decisions based on accurate analyses and insights.,"Agrovisio, ekimden hasata kadar tarım sektörünün paydaşlarına doğru, güncel
ve özelleştirilmiş veri ile isabetli tahminler sağlar.",1-10,http://agrovisio.com,https://www.crunchbase.com/organization/agrovisio-official,https://www.linkedin.com/company/agrovisiofficial/,https://www.facebook.com/pg/agrovisio/about/?ref=page_internal,https://twitter.com/agrovisio
https://climatescape.org//organizations/agua-inc,Agua Inc,Agua Inc ™ is an ecological engineering company that utilizes nature-based solutions creating Floating Wetlands #abis,"Nature-based solutions, specially on ABIS ",11-50,http://aguainc.com,https://www.crunchbase.com/organization/agua,https://www.linkedin.com/company/agua-inc,https://www.facebook.com/AguaInc,https://twitter.com/aguainc
https://climatescape.org//organizations/aguaclara-reach,AguaClara Reach,AguaClara Reach brings the world closer to universal access to safe water on tap.,"AguaClara Reach is dedicated to revolutionizing access to safe water around the world. We are a nonprofit technical support organization that seeks to promote and facilitate the implementation of water treatment systems using AguaClara Technologies. AguaClara Reach fulfills this mission by transferring technical expertise and know-how to selected local partners who, collectively, can build plants in thousands of communities worldwide.",1-10,https://www.aguaclarareach.org/,https://www.linkedin.com/company/aguaclarareach,https://twitter.com/aguaclarah2o,Нет данных,Нет данных
https://climatescape.org//organizations/aguamarina,Aguamarina,Green Industry Makers: we use biotech to transform large scale industrial processes,Aguamarina is an industrial biotechnology company for the mining sector. They believe the mining industry must offer sustainable green metals and our mission is to become a platform for new technologies that make mining a zero waste activity.,11-50,https://www.aguamarina.cl,https://www.crunchbase.com/organization/aguamarina-biomineria,https://www.linkedin.com/company/aguamarina-s-a-/,Нет данных,Нет данных
https://climatescape.org//organizations/air-company,Air Company,Almost impossible. Goods that do good.,Нет данных,1-10,https://aircompany.com/,https://www.crunchbase.com/organization/air-company-0237,https://www.linkedin.com/company/theaircompany,https://web.facebook.com/AirCompanyNYC,https://twitter.com/airconyc
https://climatescape.org//organizations/air-liquide,Air Liquide,"Air Liquide supplies industrial gases and services to various industries including medical, chemical and electronic manufacturers.",Нет данных,"Paris,",https://www.airliquide.com,https://www.crunchbase.com/organization/air-liquide,http://www.linkedin.com/company/airliquide,https://www.facebook.com/AirLiquide/,http://twitter.com/AirLiquideGroup
https://climatescape.org//organizations/air-products-company,Air Products Company,"Air Products supplier of industrial gases and equipment, specialty and intermediate chemicals, and environmental and energy systems.",Нет данных,Private,http://www.airproducts.com/,https://www.crunchbase.com/organization/air-products,http://www.linkedin.com/company/air-products,http://www.facebook.com/airproductscareers,http://twitter.com/airproducts
https://climatescape.org//organizations/air-protein,Air Protein,"We are on a mission to feed the world with healthy, delicious foods made from the most sustainable source of protein.","Air Protein is on a mission to feed our growing population with foods made from air-based protein. Using a proprietary probiotic production process, the protein found in air-based meat is a new form of sustainable protein created from elements found in the air we breathe and it has an amino acid profile comparable to meat protein. ",11-50,https://www.airprotein.com/,https://www.crunchbase.com/organization/air-protein,https://www.linkedin.com/company/air-protein/,Нет данных,https://twitter.com/AirProtein
https://climatescape.org//organizations/airity-technologies,Airity Technologies,We are advancing next-generation technologies enabled by innovative high-voltage power conversion approaches.,Нет данных,LinkedIn,https://www.airitytech.com/,https://www.crunchbase.com/organization/airity-technologies,https://www.linkedin.com/company/airity-technologies/,Нет данных,Нет данных
https://climatescape.org//organizations/airrobe,AirRobe,"The most
  sustainable way to shop designer fashion","Buy an outfit. Rent an outfit.
  Share your wardrobe. All on AirRobe.",Private,https://airrobe.com/,Нет данных,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/airseed,AirSeed,Personalized travel offers & insights on autopilot,Drone based seed planting and regeneration,1-10,http://www.airseedtech.com,https://www.crunchbase.com/organization/airseed,https://www.linkedin.com/company/19034223/admin/,https://www.facebook.com/AirSeedTech/,http://twitter.com/airseed
https://climatescape.org//organizations/airthium,Airthium,"Airthium makes low cost, zero emission, 30kW+ Thermodynamic energy storage systems, as well as high efficiency diesel generators","Airthium store solar and wind energy on site and above ground, using MW-scale thermodynamic energy storage modules. Airthium use electricity to power a heat pump and store heat at 500°C (932°F) in low cost materials. The heat pump then becomes a heat engine to convert the heat back into electricity when it's needed.","Palaiseau,",http://www.airthium.com,https://www.crunchbase.com/organization/airthium,https://twitter.com/airthium,Нет данных,Нет данных
https://climatescape.org//organizations/airtracker,AirTracker,,"Developer of monitoring device intended to track air quality. The company's product has a low cost of manufacturing and a unique design, providing customers 
 with simple, efficient, and scalable deployment.",1-10,http://www.airtracker.io,Нет данных,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/aker-clean-carbon,Aker Clean Carbon,"Imagining, innovating, unlocking energy. For generations.","Aker Solutions' cost-efficient carbon capture technology is commercially ready and can be applied on various types of industrial emissions.

https://www.akersolutions.com/what-we-do/products-and-services/carbon-capture-utilization-and-storage/

Our offshore wind solutions combine Aker Solutions’ experience in developing and managing large and complex offshore projects with the proven WindFloat® technology from our partner Principle Power.

https://www.akersolutions.com/what-we-do/products-and-services/offshore-wind-solutions/",10001+,https://www.akersolutions.com/,https://www.crunchbase.com/organization/aker-solutions,https://www.linkedin.com/company/aker-solutions,http://www.facebook.com/akersolutions,http://twitter.com/akersolutions
https://climatescape.org//organizations/akermin,Akermin,Akermin focuses on developing commercial applications in wireless sensors for military uses.,Нет данных,St.,http://akermin.com,https://www.crunchbase.com/organization/akermin,http://www.linkedin.com/company/akermin,Нет данных,Нет данных
https://climatescape.org//organizations/akuo-energy,Akuo Energy,Entrepreneurs by nature !,Entrepreneurs par nature. Producteur français indépendant d',201-500,http://akuoenergy.com,https://www.crunchbase.com/organization/akuo-energy,https://www.linkedin.com/company/akuo-energy,Нет данных,https://twitter.com/Akuo_Energy
https://climatescape.org//organizations/alesca-life,Alesca Life,Alesca Life builds indoor farms and farm management software to make food production more localized and data driven.,"We build indoor farming systems so our clients can enjoy safe, clean,
zero-mile food. HQ in Beijing ",11-50,http://alescalife.com,https://www.crunchbase.com/organization/alesca-life,https://www.linkedin.com/company/alesca-life-technologies/,https://www.facebook.com/alescalife/,https://twitter.com/alescalife
https://climatescape.org//organizations/algama,Algama,Microalgae Pioneer.,Algama | Microalgae Pioneer ,11-50,http://algamafoods.com,https://www.crunchbase.com/organization/algama,https://www.linkedin.com/company/algama,https://www.facebook.com/Algamafoods,https://twitter.com/algamafoods
https://climatescape.org//organizations/algasol-renewables,Algasol Renewables,"The world's most cost efficient, high yielding patented PhotoBioReactor.",Нет данных,1-10,http://algasolrenewables.com/,https://www.linkedin.com/company/algasol-renewables,https://twitter.com/algasol,Нет данных,Нет данных
https://climatescape.org//organizations/algatex,Algatex,Green Conscious Fashion,"startup dedicated to research the use
  of Algae in Textile mass production",1-10,https://www.algatex.com/,https://twitter.com/ALGATEX2,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/algenol-biotech,Algenol Biotech,"Algenol produces ethanol by using algae, sunlight, CO2, and seawater for commercial purposes in the United States.",Нет данных,Bonita,http://algenol.com/,https://www.crunchbase.com/organization/algenol-biofuel,http://twitter.com/AlgenolBiofuels,Нет данных,http://www.facebook.com/algenol
https://climatescape.org//organizations/algonquin-power-and-utilities,Algonquin Power & Utilities,Sustaining energy and water for life.,"Algonquin Power & Utilities Corp. is a growing renewable energy and regulated utility company with assets across North America. The Corporation acquires and operates green and clean energy assets including hydroelectric, wind, thermal, and solar power facilities, as well as sustainable utility distribution businesses (water, electricity and natural gas) through its two operating subsidiaries: Liberty Power and Liberty Utilities.",1001-5000,http://algonquinpower.com/,https://www.crunchbase.com/organization/algonquin-power-utilities-corp,https://www.linkedin.com/company/algonquin-power-&-utilities-corp/,Нет данных,https://www.twitter.com/aqn_utilities
https://climatescape.org//organizations/aljadix,Aljadix,We are developing carbon negative biofuel from microalgae feedstock. ,"As a start-up biofuel company, since 2014, Aljadix is a concept stage venture driven by marine biologists, biofuel chemists and climate scientists who are anxious to bring Carbon Negative Biofuel to market. Our Carbon Negative Biofuel is designed on a novel, massively scalable system which will replace fossil fuels and begin the permanent removal of excess carbon dioxide from the atmosphere.",1-10,http://www.aljadix.com/,https://www.crunchbase.com/organization/aljadix,https://www.linkedin.com/company/aljadix,https://www.facebook.com/profile.php?id=100012065352044,https://twitter.com/aljadix
https://climatescape.org//organizations/all-power-labs,All Power Labs,ALL Power Labs is the new global leader in small-scale gasification,"Our motivating goal is to deploy at scale a new type of energy product– a personal scale waste-to-energy appliance.  Imagine a “PC of energy”; a machine which intakes the waste biomass all around us, and converts it to multiple forms of power and products, right where they’re needed.  Instead of hauling the biomass to a central utility for conversion, we’re bringing the machine to where the fuel already is, right where the users and needs already are.",11-50,http://www.allpowerlabs.com/,https://www.crunchbase.com/organization/all-power-labs,https://www.linkedin.com/company/all-power-labs,https://www.facebook.com/allpowerlabs,https://www.twitter.com/allpowerlabs
https://climatescape.org//organizations/allume-energy,Allume Energy,Allume Energy is a renewable energy technology company unlocking solar the multi-tenanted market.,Technology for meter sharing of solar energy in buildings with multiple units at a proportionate rate ,11-50,http://www.allumeenergy.com.au,https://www.crunchbase.com/organization/allume-energy,https://www.linkedin.com/company/9226877/,Нет данных,https://twitter.com/Allume_Energy
https://climatescape.org//organizations/alphabet-energy,Alphabet Energy,Alphabet Energy commercializes a waste heat recovery technology that enables customers to generate electrical power.,Нет данных,"Hayward,",http://www.alphabetenergy.com,https://www.crunchbase.com/organization/alphabet-energy,http://www.linkedin.com/company/alphabet-energy,https://www.facebook.com/alphabetenergy,http://twitter.com/alphabetenergy
https://climatescape.org//organizations/alta-motors,Alta Motors,Alta Motors designs and manufactures electric vehicle technology.,Нет данных,"Brisbane,",http://www.altamotors.co,https://www.crunchbase.com/organization/brd-motorcycles,https://www.linkedin.com/company/alta-motors/,https://www.facebook.com/altamotorsusa,https://twitter.com/altamotors
https://climatescape.org//organizations/altarock-energy,AltaRock Energy,AltaRock Energy focuses on the development of geothermal energy resources and Enhanced Geothermal Systems (EGS).,"AltaRock is a full-service geothermal technology and development company
focused on Enhanced Geothermal Systems (EGS).",11-50,http://altarockenergy.com,https://www.crunchbase.com/organization/altarock-energy,https://twitter.com/altarock,Нет данных,http://www.facebook.com/AltaRockEnergy
https://climatescape.org//organizations/altergy,Altergy,Altergy Systems is offers reliable backup power solutions for telecom and delivers proven fuel cell technology.,Нет данных,"Folsom,",http://www.altergy.com,https://www.crunchbase.com/organization/altergy-systems,https://www.linkedin.com/company-beta/1383338/,Нет данных,https://twitter.com/AltergySystems
https://climatescape.org//organizations/ambercycle,Ambercycle,From garbage to garment.,"Ambercycle is a chemical technology company building the ecosystem for closed loop apparel turning ""end-of-life"" textiles into new yarns",1-10,https://ambercycle.com,https://www.crunchbase.com/organization/ambercycle,https://www.linkedin.com/company/ambercycleinc/,Нет данных,https://twitter.com/ambercycle
https://climatescape.org//organizations/ambient,Ambient,Ambient is an Australian company devoted to environmental mapping of our major cities and regions.,"Provider of environmental data created to offer environmental mapping of noise and air pollution in Australian and New Zealand major cities and regions. The company produces a range of maps and tabulated data, which show transport-related noise and air quality levels for individual properties and across whole suburbs. Its maps and data cover air traffic noise, road traffic noise, rail noise, air quality and future road noise impacts.",1-10,https://ambientmaps.com.au/,https://www.crunchbase.com/organization/ambient,https://www.linkedin.com/company/ambientmaps/,https://www.facebook.com/ambientmaps/?fref=ts,https://twitter.com/ambientmaps
https://climatescape.org//organizations/ambisense,AmbiSense,Transforming how environmental risks are assessed and managed through the use of advanced analytics,Empowering our clients with the best in class environmental insights across some of the world’s largest infrastructure projects.,11-50,http://www.ambisense.net,https://www.crunchbase.com/organization/ambisense,https://www.linkedin.com/company/ambisense/,Нет данных,https://twitter.com/ambisense_ltd
https://climatescape.org//organizations/ambri,Ambri,Ambri is an early-stage company focused on developing a transformative technology.,Нет данных,"Marlborough,",https://ambri.com/,https://www.crunchbase.com/organization/ambri,http://www.linkedin.com/company/ambri,https://www.facebook.com/AmbriInc/,http://twitter.com/Ambri_Inc
https://climatescape.org//organizations/ameresco,Ameresco,"Ameresco, Inc. provides energy efficiency solutions for facilities in North America. The company engages in the development, design,",Нет данных,"Framingham,",https://www.ameresco.com/,https://www.crunchbase.com/organization/ameresco,http://www.linkedin.com/company/39971,http://www.facebook.com/pages/Ameresco/167003743332629,http://twitter.com/Ameresco
https://climatescape.org//organizations/american-wind,American Wind,,"American Wind challenges the traditional wind turbine market and power generations technologies. We have developed a unique micro wind turbine with enhanced power generation capabilities, to be created at less cost and utilizing newer manufacturing technologies. We are challenging the way new technology can be used and enhancing old technologies to expand their capabilities.",Wind,http://americanwindinc.com,https://twitter.com/awturbines,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/amotus,Amotus,Asset monitoring and inspection,Solar asset inspection with drones,1-10,https://www.amotus.com.au/,https://www.linkedin.com/company/amotus/?originalSubdomain=au,https://twitter.com/Wix,Нет данных,https://www.facebook.com/wix
https://climatescape.org//organizations/amp-robotics,AMP Robotics,Making recycling sustainable so it can better serve our society and our planet,"AMP Robotics is an industrial artificial intelligence and robotics company that is changing the economics of material recovery and recycling.

AMP’s breakthrough technology automates the identification, sorting, and processing of material streams to extract maximum value for material recovery facilities (MRFs) that process municipal solid waste, construction and demolition, e-waste, and auto-shredding. ",11-50,https://www.amprobotics.com/,https://www.crunchbase.com/organization/amp-robotics,https://www.linkedin.com/company/amp-robotics,https://www.facebook.com/amprobotics,https://twitter.com/AMPRobotics
https://climatescape.org//organizations/ampd,Ampd,"Ampd Energy designs, engineers and manufactures state-of-the-art, grid-connected energy storage systems.",Award-winning clean electric energy backup storage system,Sha,http://ampd.energy,https://www.crunchbase.com/organization/quantum-force-engineering-limited,https://www.linkedin.com/company/ampd_energy/,https://www.facebook.com/AmpdEnergy/,https://twitter.com/ampd_energy
https://climatescape.org//organizations/ampere-energy,Ampere Energy,,"Con nuestros sistemas de gestión energética, el autoconsumo de energía
solar las 24 horas ya es una realidad. Disfruta de más confort en tu hogar
o negocio.",@amperexenergy,http://ampere-energy.es/contacto/,https://twitter.com/amperexenergy,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/ampere-vehicles,Ampere Vehicles,Ampere  designs and manufactures electric vehicles.,Нет данных,"Coimbatore,",https://amperevehicles.com/,https://www.crunchbase.com/organization/ampere-vehicles,https://twitter.com/ampereebikes,Нет данных,https://www.facebook.com/amperevehicles/
https://climatescape.org//organizations/amprius,Amprius,Amprius develops an anode out of silicon nanowires for lithium-ion batteries.,Нет данных,"Sunnyvale,",http://www.amprius.com,https://www.crunchbase.com/organization/amprius,http://www.linkedin.com/company/amprius-inc,Нет данных,Нет данных
https://climatescape.org//organizations/ampyx-power,Ampyx Power,Ampyx Power develops a novel wind energy technology.,Ampyx Power is developing utility scale Airborne Wind Energy Systems (AWES) with tethered wings that convert stronger winds above 200 meters into electricity.,The,http://ampyxpower.com,https://www.crunchbase.com/organization/ampyx-power,https://www.linkedin.com/company/ampyx-power,Нет данных,https://twitter.com/AmpyxPower
https://climatescape.org//organizations/amyris,Amyris,Amyris specializes in creating renewable products focusing on fuels and chemicals.,Нет данных,"Emeryville,",https://amyris.com,https://www.crunchbase.com/organization/amyris-biotechnologies,http://www.linkedin.com/company/amyris-inc,https://www.facebook.com/amyris.inc/,http://twitter.com/Amyris
https://climatescape.org//organizations/anaergia,Anaergia,Anaergia offers sustainable solutions for the generation of renewable energy and the conversion of waste to resources.,Нет данных,"Toronto,",http://www.anaergia.com,https://www.crunchbase.com/organization/anaergia,http://ca.linkedin.com/company/anaergia-inc-,Нет данных,http://twitter.com/AnaergiaInc
https://climatescape.org//organizations/angaza-design,Angaza Design,Angaza provides a technology that enables businesses to provide affordable life-changing products to people in emerging markets.,Нет данных,San,http://www.angazadesign.com,https://www.crunchbase.com/organization/angaza-design,http://www.linkedin.com/company/854845,http://www.facebook.com/AngazaDesign,http://twitter.com/angazadesign
https://climatescape.org//organizations/antecy,Antecy,ANTECY provides a process for production of fuels and chemicals out of ambient CO2 and renewable energy.,Нет данных,Carbon,http://www.antecy.com/,https://www.crunchbase.com/organization/antecy,https://www.linkedin.com/company/antecy,https://www.facebook.com/ANTECY/,https://twitter.com/antecy
https://climatescape.org//organizations/antenna,Antenna,Antenna is an impact-focused integrated marketing & PR agency,"Antenna is an integrated public relations, marketing and creative agency with deep domain expertise to power campaigns in cleantech, sustainability, mobility, real estate, health, infrastructure, materials and emerging B2B technologies. Our team of senior-level professionals executes both strategy and tactics, applying their experience to a wide range of services, from strategic messaging and traditional media relations, to content development and social media. Antenna bolsters these services by harnessing the power of digital marketing and advertising, web development and creative design, to build compelling brands and achieve sales and lead generation objectives with precision and creativity. We blend data with human brilliance to generate meaningful results and transmit messages that matter. Antenna has offices in New York City, San Francisco, Chicago, and Hackensack, N.J.",51-200,https://www.antennagroup.com,https://www.crunchbase.com/organization/antenna-group,https://www.linkedin.com/company/antenna-group,https://www.facebook.com/AntennaGroup,https://twitter.com/antenna_group
https://climatescape.org//organizations/anthropogenic-magazine,Anthropogenic Magazine,Welcome to the Anthropocene,"Anthropocene harnesses the creativity of some of the world’s most talented writers, designers, scientists, and entrepreneurs to its crucial mission: accelerating the arrival of a sustainable Human Age we actually want to live in.",1-10,https://anthropocenemagazine.org/,https://www.linkedin.com/company/anthropocene-magazine,https://twitter.com/anthropocenemag,Нет данных,Нет данных
https://climatescape.org//organizations/anue-water-technologies,Anue Water Technologies,"Anue Water Technologies provides technology solutions to wastewater odor, FOG, TSS and BOD problems using Wastewater Treatment Services",Нет данных,"Georgia,",http://www.anuewater.com,https://www.crunchbase.com/organization/anue-water-technologies,https://www.linkedin.com/company/anuewater/,Нет данных,https://www.facebook.com/anuewater/
https://climatescape.org//organizations/apeks-supercritical,Apeks Supercritical,Apeks Supercritical Engineering subcritical and supercritical CO2 systems.,Нет данных,"Johnstown,",https://www.apekssupercritical.com/,https://www.crunchbase.com/organization/apeks-supercritical,https://www.linkedin.com/company/apeks-supercritical,https://www.facebook.com/apekssupercritical/,https://twitter.com/ApeksFab
https://climatescape.org//organizations/apis-protect,Apis Protect,ApisProtect provides real-time hive monitoring powered by intelligent #sensor #technology.,Helping beekeepers to reduce honeybee losses & increase hive productivity with iot technology.,11-50,https://apisprotect.com,https://www.crunchbase.com/organization/apisprotect,https://www.linkedin.com/company/apisprotect/,https://www.facebook.com/ApisProtect/,https://twitter.com/ApisProtect
https://climatescape.org//organizations/aptech-africa,Aptech Africa,,"Aptech Africa, a leading Solar Energy and Water Pump Specialist in Africa.
We provide quality solar design and installation for small and large scale
projects.",@aptechsolar,http://aptechafrica.com,https://twitter.com/aptechsolar,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/apx,APX,APX has continuously provided innovative technology and service solutions for the energy and environmental markets.,Нет данных,San,https://apx.com/,https://www.crunchbase.com/organization/apx-2,https://www.linkedin.com/company/232864,Нет данных,Нет данных
https://climatescape.org//organizations/aquafiber-technologies-corporation,Aquafiber Technologies Corporation,"AquaFiber has developed innovative technology solutions that meet at the intersection of clean water, renewable energy, and human health.",Нет данных,Winter,http://www.aquafiber.com,https://www.crunchbase.com/organization/aquafiber-technologies,https://in.linkedin.com/company/aquafiber-technologies-corporation,https://www.facebook.com/pg/AquaFiber/about/,https://twitter.com/aquafibertech
https://climatescape.org//organizations/aquaspy,AquaSpy,Aquaspy is a provider of advanced soil monitoring technologies for the agriculture industry.,Нет данных,San,http://www.aquaspy.com,https://www.crunchbase.com/organization/aquaspy,https://www.linkedin.com/company/1148591,Нет данных,https://www.twitter.com/aquaspy
https://climatescape.org//organizations/aquion-energy,Aquion Energy,Aquion Energy is a company that manufactures sodium ion batteries and energy storage systems.,Нет данных,"Pittsburgh,",http://www.aquionenergy.com,https://www.crunchbase.com/organization/aquion-energy,http://www.linkedin.com/company/aquion-energy,http://www.facebook.com/AquionEnergy,http://twitter.com/Aquion_Energy
https://climatescape.org//organizations/arable,Arable,"A global solution to managing weather risk and crop health, delivering real-time, actionable insights from your field.",People can solve natural resource challenges if they possess the right tools. Arable enables data-driven decisions in agriculture and natural resource management using Measurements that Matter.,11-50,https://www.arable.com/,https://www.crunchbase.com/organization/arable,https://www.linkedin.com/company/arable-labs-inc./,https://www.facebook.com/ArableLabs,https://twitter.com/ArableLabs
https://climatescape.org//organizations/arcimoto,Arcimoto,"Makers of the FUV, our mission to build products that catalyze the shift to a sustainable transportation system.",We make the Fun Utility Vehicle. Ultra-efficient three-wheel platform for the wide range of everyday trips.,51-200,http://arcimoto.com,https://www.crunchbase.com/organization/arcimoto,https://www.linkedin.com/company/arcimoto,http://facebook.com/Arcimoto,https://twitter.com/arcimoto
https://climatescape.org//organizations/arcola-energy,Arcola Energy,"Arcola Energy is a systems engineering company and Tier 1 supplier specialising in hydrogen, fuel cells, and batteries.","Arcola Energy designs, integrates and deploys hydrogen fuel cell systems",11-50,http://arcolaenergy.com,https://twitter.com/arcolaenergy,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/ardica-technologies,Ardica Technologies,Ardica Technologies creates mobile power solutions for the military and consumer markets.,Нет данных,San,http://www.ardica.com,https://www.crunchbase.com/organization/ardica-technologies,https://www.linkedin.com/company/ardica-technologies,Нет данных,https://www.twitter.com/ardicatech
https://climatescape.org//organizations/arnergy,Arnergy,"Our mission is to deliver energy solutions for productive use deploying products, services & systems to power businesses","Arnergy provides solar energy solutions powered by technology to homes and
businesses across Sub-Saharan Africa. ",11-50,http://arnergy.com,https://www.crunchbase.com/organization/green-energy-biofuels,https://www.linkedin.com/company/arnergy,https://www.facebook.com/arnergy,https://twitter.com/arnergy
https://climatescape.org//organizations/arvia-technology,Arvia Technology,Targeted on-site removal of organic contaminants and colour from industrial water.,"Nyex™ treatment: Arvia's advanced tertiary drinking & wastewater treatment process enabling the reduction of hard COD, colour & organic micropollutants.",11-50,http://arviatechnology.com,https://www.crunchbase.com/organization/arvia-technology,https://www.linkedin.com/company/arvia-technology,Нет данных,https://twitter.com/arvia_tech
https://climatescape.org//organizations/aspen-products-group-inc,"Aspen Products Group, Inc.",Aspen Products is a developer of materials technologies and products.,Нет данных,"Marlborough,",http://www.fuelreforming.com,https://www.crunchbase.com/organization/aspen-products-group-inc,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/asset-owners-disclosure-project,Asset Owners Disclosure Project,"AODP, a ShareAction project, assesses and engages the world’s largest institutional investors on their approach to responsible investment.","AODP, a ShareAction project, assesses and engages the world’s largest institutional investors on their approach to responsible investment. Our mission is to leverage the global financial system to tackle key global issues, with a focus on climate change, human rights, and biodiversity. ",11-50,https://aodproject.net/,https://www.linkedin.com/company/shareaction/,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/ather-energy,Ather Energy,Ather Energy is a manufacturer of electric scooters.,"Ather Energy builds intelligent electric scooters. Our products include
Ather 450 & Ather Grid, a public charging network. Pre-order them at ",501-1000,http://atherenergy.com,https://www.crunchbase.com/organization/ather-energy,http://www.linkedin.com/company/ather-energy,http://www.facebook.com/atherenergy,https://twitter.com/atherenergy
https://climatescape.org//organizations/atlas-ai,Atlas AI,Data that unleashes human potential and drives sustainable development.,"Atlas AI has pioneered new ways to estimate socioeconomic indicators by combining high-resolution satellite imagery and other data with the latest advances in artificial intelligence. We are using these cutting-edge techniques to build an accessible analytics platform to analyze and predict crop yields, economic well-being, and other indicators at fine resolution across the developing world.",1-10,https://www.atlasai.co/,https://www.crunchbase.com/organization/atlas-ai,https://www.linkedin.com/company/atlas-ai-pbc,Нет данных,https://twitter.com/atlasai_co
https://climatescape.org//organizations/atlis,Atlis,Electric without compromise.,Atlis Motor Vehicles is a battery electric vehicle company in the early stages of development. Our focus is building electric vehicles that are practical and competitive in the market such that a gasoline or diesel vehicle obsolete. ,1-10,https://www.atlismotorvehicles.com/,https://www.crunchbase.com/organization/atlis-motor-vehicles,https://www.linkedin.com/company/16223412/,http://www.facebook.com/atlismotorvehicles,https://twitter.com/AtlisMV
https://climatescape.org//organizations/atmocean,Atmocean,Atmocean is a wave energy company that converts seawater into fresh water through desalination or electricity.,Нет данных,Santa,https://atmocean.com/,https://www.crunchbase.com/organization/atmocean,https://www.twitter.com/atmocean,Нет данных,https://www.facebook.com/atmocean
https://climatescape.org//organizations/atmostat,Atmostat,,"Atmostat has a wealth of 40 years of experience in the design, manufacture and integration of predominantly industrial products.",Private,https://www.atmostat-alcen.com/en,Нет данных,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/audubon,Audubon,National Audubon Society (USA) is an Education company.,Нет данных,New,http://www.audubon.org/,https://www.crunchbase.com/organization/national-audubon-society-usa,http://www.linkedin.com/company/national-audubon-society,https://www.facebook.com/nationalaudubonsociety,https://twitter.com/audubonsociety
https://climatescape.org//organizations/aum-energy,Aum Energy,Technology and Project Developer for the Low Carbon Economy,"At the moment, we are looking at 4 projects - synbio and anaerobic digestion for lignin-rich substrates / gas-to-methanol/DME / sustainable farming / water-from-air. 

All of these projects have an impact on GHG emissions from reducing food miles, to reducing gas flaring, to bringing now substrates into the bioeconomy. 

We are based in Asia and always looking for new alliances and partners as we seek to scale and make a larger impact.",1-10,http://www.aumenergy.com,https://twitter.com/aumenergy,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/aurora-solar,Aurora Solar,Powerful solar sales and design software for installers—slashing the solar industry's soft costs.,"Powerful Software for Solar Sales and Design

Create a complete engineering design and sales proposal with just an address and an electric bill. ",51-200,https://www.aurorasolar.com/,https://www.crunchbase.com/organization/aurora-solar,https://www.linkedin.com/company/aurora-solar/,https://www.facebook.com/aurorasolarinc/,https://twitter.com/aurorasolarinc
https://climatescape.org//organizations/australian-solar-designs,Australian Solar Designs,Australian Solar Designs (ASD) specialize in the design and installation of Solar Power for Commercial Properties. ,"Australian Solar Designs is focused on providing cost effective, optimised solar solutions to clients ranging from small commercial businesses to the largest commercial, industrial and government organizations across Australia. tick since 2009 the Solar Industry was booming with the value of the Government incentives at its highest. ASD has seen many industry highs and lows and has survived Feed in Tariff changes and rebate decreases and remains a strong market player.",51-200,https://www.australiansolardesigns.com.au/,https://www.linkedin.com/company/australian-solar-designs,https://twitter.com/solar_asd,Нет данных,Нет данных
https://climatescape.org//organizations/autonomous-marine-systems,Autonomous Marine Systems,"AMS is a marine data company using fleets of patented, low-cost robotic sailboats to deliver real-time ocean intelligence",Нет данных,"Somerville,",https://www.automarinesys.com/,https://www.crunchbase.com/organization/autonomous-marine-systems,https://www.linkedin.com/company/autonomous-marine-systems,https://www.facebook.com/automarinesys,https://www.twitter.com/automarinesys
